ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,SceneScope
352,"In this lively den, an arcade machine stands against the wall next to the door. Opposite it, a sleek bar counter sits beneath a window, its top lined with two soda bottles and a single cocktail glass. Near the window, a high table accommodates a lone bar stool tucked neatly underneath, creating a casual spot for players to grab a drink.","eq,1,arcade_machine; eq,1,bar_counter; eq,1,high_table; eq,1,bar_stool; eq,2,soda_bottle; eq,1,cocktail_glass","eq,1,bar_counter,sleek","eq,1,opposite,0,arcade_machine,bar_counter; eq,2,on,0,bar_counter,soda_bottle; eq,1,on,0,bar_counter,cocktail_glass; eq,1,under_region,0,high_table,bar_stool","eq,1,against,arcade_machine,wall; eq,1,next,arcade_machine,door; eq,1,under,bar_counter,window; eq,1,near,high_table,window",medium,single_room
353,"A lively den places a table tennis table at the center of the room. A wooden bench sits near the door for players to rest. Against one wall, a storage cabinet stands below a window. On the cabinet's top, a clear water bottle positioned to the left of two paddles and a ping-pong ball balanced on the right paddle.","eq,1,table_tennis_table; eq,1,bench; eq,1,storage_cabinet; eq,1,water_bottle; eq,2,paddle; eq,1,ping_pong_ball","eq,1,bench,wooden; eq,1,water_bottle,clear","eq,2,on,0,storage_cabinet,paddle; eq,1,on,0,storage_cabinet,water_bottle; eq,1,on,0,paddle,ping_pong_ball; eq,2,left,0,paddle,water_bottle; eq,1,right,0,paddle,ping_pong_ball","eq,1,center,table_tennis_table,room; eq,1,near,bench,door; eq,1,against,storage_cabinet,wall; eq,1,under,storage_cabinet,window",medium,single_room
354,"A chemical company manager office has a large wooden desk with a leather swivel chair in front. On the desktop sit a laptop, a microscope, and an open notebook. A two-drawer filing cabinet stands against the wall, and a small fabric sofa faces the desk.","eq,1,desk; eq,1,chair; eq,1,laptop; eq,1,microscope; eq,1,notebook; eq,1,filing_cabinet; eq,1,sofa","eq,1,desk,large; eq,1,desk,wooden; eq,1,chair,leather; eq,1,chair,swivel; eq,1,notebook,open; eq,1,filing_cabinet,two_drawer; eq,1,sofa,small; eq,1,sofa,fabric","eq,1,front,0,desk,chair; eq,1,on,0,desk,laptop; eq,1,on,0,desk,microscope; eq,1,on,0,desk,notebook; eq,1,facing,0,desk,sofa","eq,1,against,filing_cabinet,wall",medium,single_room
355,"This computer science professor office features a modern standing-height desk with an ergonomic chair facing it. A laptop and a single reference textbook rest on the desk surface. A cushioned visitor chair sits facing the desk, and a tall wooden bookshelf stands against the adjacent wall.","eq,1,desk; eq,2,chair; eq,1,laptop; eq,1,textbook; eq,1,bookshelf","eq,1,desk,modern; eq,1,desk,standing_height; eq,1,chair,ergonomic; eq,1,chair,cushioned; eq,1,textbook,reference; eq,1,bookshelf,tall; eq,1,bookshelf,wooden","eq,2,face,0,desk,chair; eq,1,on,0,desk,laptop; eq,1,on,0,desk,textbook","eq,1,against,bookshelf,wall",medium,single_room
356,"An architect's office centers on a spacious drafting table with a swiveling drafting stool nearby. A cushioned lounge chair stands beside a tall filing cabinet. On the drafting table surface lie a rolled-up blueprint, a wooden scale model of a house, and a potted plant.","eq,1,drafting_table; eq,1,drafting_stool; eq,1,lounge_chair; eq,1,filing_cabinet; eq,1,blueprint; eq,1,house_scale_model; eq,1,potted_plant","eq,1,drafting_table,spacious; eq,1,drafting_stool,swiveling; eq,1,lounge_chair,cushioned; eq,1,filing_cabinet,tall; eq,1,blueprint,rolled_up; eq,1,house_scale_model,wooden","eq,1,near,0,drafting_table,drafting_stool; eq,1,on,0,drafting_table,blueprint; eq,1,on,0,drafting_table,house_scale_model; eq,1,on,0,drafting_table,potted_plant; eq,1,beside,0,filing_cabinet,lounge_chair",,medium,single_room
357,In an interior designer's office a sleek glass desk features a supportive swivel chair facing it. Across from the desk is a small sofa and in front of the sofa sits a low coffee table holding a ceramic vase and a catalog book. On the desk a single fabric swatch is laid out.,"eq,1,desk; eq,1,chair; eq,1,sofa; eq,1,coffee_table; eq,1,vase; eq,1,book; eq,1,fabric_swatch","eq,1,desk,sleek; eq,1,desk,glass; eq,1,chair,supportive; eq,1,chair,swivel; eq,1,sofa,small; eq,1,coffee_table,low; eq,1,vase,ceramic; eq,1,book,catalog; eq,1,fabric_swatch,single","eq,1,face,0,desk,chair; eq,1,across,0,desk,sofa; eq,1,front,0,sofa,coffee_table; eq,1,on,0,coffee_table,vase; eq,1,on,0,coffee_table,book; eq,1,on,0,desk,fabric_swatch",,medium,single_room
358,"A forensic scientist's office includes a sturdy lab bench against the wall with a swivel stool facing it. On the bench rest a microscope, a sample tray, and an open reference manual. Next to the bench is a tall storage cabinet.","eq,1,lab_bench; eq,1,stool; eq,1,microscope; eq,1,sample_tray; eq,1,reference_manual; eq,1,storage_cabinet","eq,1,lab_bench,sturdy; eq,1,stool,swivel; eq,1,reference_manual,open; eq,1,storage_cabinet,tall","eq,1,facing,0,lab_bench,stool; eq,1,on,0,lab_bench,microscope; eq,1,on,0,lab_bench,sample_tray; eq,1,on,0,lab_bench,reference_manual; eq,1,beside,0,lab_bench,storage_cabinet","eq,1,against,lab_bench,wall",medium,single_room
359,"In a fashion designer's studio a large cutting table occupies the center with a swivel stool positioned next to it. A mannequin stands nearby, and on the table lie a sewing machine and two fabric rolls.","eq,1,cutting_table; eq,1,stool; eq,1,mannequin; eq,1,sewing_machine; eq,2,fabric_roll","eq,1,cutting_table,large; eq,1,stool,swivel","eq,1,next,0,cutting_table,stool; eq,1,near,0,cutting_table,mannequin; eq,1,on,0,cutting_table,sewing_machine; eq,2,on,0,cutting_table,fabric_roll","eq,1,center,cutting_table,room",medium,single_room
360,"A real estate agent's office includes a glass desk against the window with an ergonomic chair facing it. A plush sofa sits across from the desk, and a coffee table in front of the sofa holds a property model and a brochure folder.","eq,1,desk; eq,1,chair; eq,1,sofa; eq,1,coffee_table; eq,1,property_model; eq,1,brochure_folder","eq,1,desk,glass; eq,1,chair,ergonomic; eq,1,sofa,plush","eq,1,facing,0,desk,chair; eq,1,across,0,desk,sofa; eq,1,front,0,sofa,coffee_table; eq,1,on,0,coffee_table,property_model; eq,1,on,0,coffee_table,brochure_folder","eq,1,against,desk,window",medium,single_room
361,"An HR manager's office has a mahogany desk with a leather desk chair facing it. A visitor sofa stands against the opposite wall. A tall two-drawer filing cabinet stands beside the desk, and a potted plant rests on the cabinet.","eq,1,desk; eq,1,chair; eq,1,sofa; eq,1,filing_cabinet; eq,1,potted_plant","eq,1,desk,mahogany; eq,1,chair,leather; eq,1,sofa,visitor; eq,1,filing_cabinet,tall; eq,1,filing_cabinet,two_drawer","eq,1,facing,0,desk,chair; eq,1,beside,0,desk,filing_cabinet; eq,1,on,0,filing_cabinet,potted_plant; eq,1,opposite,0,desk,sofa","eq,1,against,sofa,wall",medium,single_room
362,"In a biotech research director's office a metal desk sits near the door with a leather swivel chair facing it. On the desk surface a microscope stands to the left of a laptop, and a petri dish sits next to a pipette rack. A round conference table occupies the room center, and a tall bookshelf lines the far wall.","eq,1,desk; eq,1,chair; eq,1,microscope; eq,1,laptop; eq,1,petri_dish; eq,1,pipette_rack; eq,1,conference_table; eq,1,bookshelf","eq,1,desk,metal; eq,1,chair,leather; eq,1,chair,swivel; eq,1,conference_table,round; eq,1,bookshelf,tall","eq,1,facing,0,desk,chair; eq,1,on,0,desk,microscope; eq,1,on,0,desk,laptop; eq,1,on,0,desk,petri_dish; eq,1,on,0,desk,pipette_rack; eq,1,left,0,laptop,microscope; eq,1,next,0,pipette_rack,petri_dish","eq,1,near,desk,door; eq,1,center,conference_table,room; eq,1,against,bookshelf,wall",medium,single_room
363,"A clinical psychologist's office contains a walnut desk positioned against the window with an adjustable office chair facing it. On the desk lie a brain model next to an open notebook, a desk lamp sits behind a stress ball. A plush sofa face the desk with a low coffee table in front.","eq,1,desk; eq,1,office_chair; eq,1,brain_model; eq,1,notebook; eq,1,desk_lamp; eq,1,stress_ball; eq,1,sofa; eq,1,coffee_table","eq,1,desk,walnut; eq,1,office_chair,adjustable; eq,1,notebook,open; eq,1,sofa,plush; eq,1,coffee_table,low","eq,1,facing,0,desk,office_chair; eq,1,on,0,desk,brain_model; eq,1,on,0,desk,notebook; eq,1,next,0,notebook,brain_model; eq,1,on,0,desk,desk_lamp; eq,1,on,0,desk,stress_ball; eq,1,behind,0,stress_ball,desk_lamp; eq,1,facing,0,desk,sofa; eq,1,front,0,sofa,coffee_table","eq,1,against,desk,window",medium,single_room
364,"A marketing manager's office features an L-shaped glass desk near the door with a mesh swivel chair facing it. On the desk a business tablet sits beside a wireless mouse, and a cup of pencils stands next to a smartphone. A plush sofa sits across from the desk, and a wooden filing cabinet lines the wall.","eq,1,desk; eq,1,chair; eq,1,tablet; eq,1,mouse; eq,1,cup_of_pencils; eq,1,smartphone; eq,1,sofa; eq,1,filing_cabinet","eq,1,desk,l_shaped; eq,1,desk,glass; eq,1,chair,mesh; eq,1,chair,swivel; eq,1,mouse,wireless; eq,1,sofa,plush; eq,1,filing_cabinet,wooden","eq,1,facing,0,desk,chair; eq,1,on,0,desk,tablet; eq,1,on,0,desk,mouse; eq,1,on,0,desk,cup_of_pencils; eq,1,on,0,desk,smartphone; eq,1,beside,0,tablet,mouse; eq,1,next,0,smartphone,cup_of_pencils; eq,1,across,0,desk,sofa","eq,1,near,desk,door; eq,1,against,filing_cabinet,wall",medium,single_room
365,"Art director's office centers on a spacious drafting table against the window with a padded stool facing it. On the table a paintbrush holder stands to the right of a sketchpad, and a laptop sits behind an art book. A lounge chair offers seating nearby, and a tall bookshelf occupies the opposite wall.","eq,1,drafting_table; eq,1,stool; eq,1,paintbrush_holder; eq,1,sketchpad; eq,1,laptop; eq,1,art_book; eq,1,lounge_chair; eq,1,bookshelf","eq,1,drafting_table,spacious; eq,1,stool,padded; eq,1,bookshelf,tall","eq,1,facing,0,drafting_table,stool; eq,1,on,0,drafting_table,paintbrush_holder; eq,1,on,0,drafting_table,sketchpad; eq,1,on,0,drafting_table,laptop; eq,1,on,0,drafting_table,art_book; eq,1,right,0,sketchpad,paintbrush_holder; eq,1,behind,0,art_book,laptop; eq,1,near,0,drafting_table,lounge_chair","eq,1,center,drafting_table,room; eq,1,against,drafting_table,window; eq,1,against,bookshelf,wall",medium,single_room
366,"In a marine biologist's office a teak desk sits near the window with a leather swivel chair facing it. On the desk surface a computer monitor sits to the right of a microscope, and a petri dish stands next to a sample vial. A small sofa faces the desk, and a metal filing cabinet stands against the opposite wall.","eq,1,desk; eq,1,chair; eq,1,computer_monitor; eq,1,microscope; eq,1,petri_dish; eq,1,sample_vial; eq,1,sofa; eq,1,filing_cabinet","eq,1,desk,teak; eq,1,chair,leather; eq,1,chair,swivel; eq,1,sofa,small; eq,1,filing_cabinet,metal","eq,1,facing,0,desk,chair; eq,1,on,0,desk,computer_monitor; eq,1,on,0,desk,microscope; eq,1,on,0,desk,petri_dish; eq,1,on,0,desk,sample_vial; eq,1,right,0,microscope,computer_monitor; eq,1,next,0,petri_dish,sample_vial; eq,1,facing,0,desk,sofa","eq,1,near,desk,window; eq,1,against,filing_cabinet,wall",medium,single_room
367,"An urban architect's office features a round conference table near the window with three leather chairs arranged around it: two on the table's long side and one at a short side. On the table a rolled blueprint lies next to a digital notepad, and a coffee mug sits beside a pen.","eq,1,conference_table; eq,3,chair; eq,1,blueprint; eq,1,digital_notepad; eq,1,coffee_mug; eq,1,pen","eq,1,conference_table,round; eq,3,chair,leather; eq,1,blueprint,rolled; eq,1,digital_notepad,digital","eq,2,long_side,0,conference_table,chair; eq,1,short_side,0,conference_table,chair; eq,1,on,0,conference_table,blueprint; eq,1,on,0,conference_table,digital_notepad; eq,1,on,0,conference_table,coffee_mug; eq,1,on,0,conference_table,pen; eq,1,next,0,digital_notepad,blueprint; eq,1,beside,0,pen,coffee_mug","eq,1,near,conference_table,window",medium,single_room
368,"In an international trade consultant's office a wooden credenza lines the wall near the door. A plush sofa faces the credenza, and a glass coffee table sits in front of the sofa with a leather armchair positioned nearby. On the coffee table a law report lies next to a pen set, and a calculator sits beside a business tablet.","eq,1,credenza; eq,1,sofa; eq,1,coffee_table; eq,1,armchair; eq,1,law_report; eq,1,pen_set; eq,1,calculator; eq,1,business_tablet","eq,1,credenza,wooden; eq,1,sofa,plush; eq,1,coffee_table,glass; eq,1,armchair,leather","eq,1,facing,0,credenza,sofa; eq,1,front,0,sofa,coffee_table; eq,1,near,0,coffee_table,armchair; eq,1,on,0,coffee_table,law_report; eq,1,on,0,coffee_table,pen_set; eq,1,on,0,coffee_table,calculator; eq,1,on,0,coffee_table,business_tablet; eq,1,next,0,law_report,pen_set; eq,1,next,0,calculator,business_tablet","eq,1,against,credenza,wall; eq,1,near,credenza,door",medium,single_room
369,"In an oceanographer's office a tall display cabinet stands against the wall near the window. A leather chaise lounge sits nearby, and a round side table holds a sealed journal next to a magnifying glass. A compass rests beside the journal, and a potted shell stands next to the compass. A floor lamp stands adjacent to the chaise.","eq,1,display_cabinet; eq,1,chaise_lounge; eq,1,side_table; eq,1,journal; eq,1,magnifying_glass; eq,1,compass; eq,1,potted_shell; eq,1,floor_lamp","eq,1,display_cabinet,tall; eq,1,chaise_lounge,leather; eq,1,side_table,round; eq,1,journal,sealed","eq,1,near,0,display_cabinet,chaise_lounge; eq,1,on,0,side_table,journal; eq,1,on,0,side_table,magnifying_glass; eq,1,next,0,journal,magnifying_glass; eq,1,next,0,journal,compass; eq,1,next,0,potted_shell,compass; eq,1,adjacent,0,chaise_lounge,floor_lamp; eq,1,on,0,side_table,compass","eq,1,near,display_cabinet,window; eq,1,against,display_cabinet,wall",medium,single_room
370,"A luxurious master bedroom features a canopy bed with an upholstered headboard. Two white nightstands stand beside it; one supports a marble table lamp and a photo frame, the other holds a green potted plant and an alarm clock. A tufted bench sits at the foot of the bed. Along one wall, a double-door wardrobe with patterned panels provides storage. Opposite, a wooden vanity desk topped with three metal candlesticks and a decorative tray is paired with an armless cushioned stool. A tall floor plant and a tripod floor lamp flank the desk on the left and right, respectively. Above a low dresser, a wall-mounted mirror reflects a crystal chandelier hanging from the ceiling. A plush area rug covers the floor under the bed.","eq,1,bed; eq,2,nightstand; eq,1,table_lamp; eq,1,photo_frame; eq,1,potted_plant; eq,1,alarm_clock; eq,1,bench; eq,1,wardrobe; eq,1,desk; eq,3,candlestick; eq,1,tray; eq,1,stool; eq,1,floor_plant; eq,1,floor_lamp; eq,1,dresser; eq,1,mirror; eq,1,chandelier; eq,1,area_rug","eq,1,bed,canopy; eq,1,bed,upholstered_headboard; eq,2,nightstand,white; eq,1,table_lamp,marble; eq,1,potted_plant,green; eq,1,bench,tufted; eq,1,wardrobe,double_door; eq,1,wardrobe,patterned_panels; eq,1,desk,wooden; eq,1,desk,vanity; eq,3,candlestick,metal; eq,1,tray,decorative; eq,1,stool,armless_cushioned; eq,1,floor_plant,tall; eq,1,floor_lamp,tripod; eq,1,mirror,wall_mounted; eq,1,chandelier,crystal; eq,1,area_rug,plush; eq,1,dresser,low","eq,2,next,0,bed,nightstand; eq,1,on,0,nightstand,table_lamp; eq,1,on,0,nightstand,photo_frame; eq,1,on,0,nightstand,potted_plant; eq,1,on,0,nightstand,alarm_clock; eq,1,at_the_foot,0,bed,bench; eq,1,next,0,desk,stool; eq,3,on,0,desk,candlestick; eq,1,on,0,desk,tray; eq,1,left,0,desk,floor_plant; eq,1,right,0,desk,floor_lamp; eq,1,above,0,dresser,mirror; eq,1,under,0,bed,area_rug","eq,1,against,wardrobe,wall; eq,1,on,mirror,wall; eq,1,hang,chandelier,ceiling",hard,single_room
371,"A contemporary master bedroom centered on a king-size platform bed flanked by two maple nightstands. An upholstered bench sits at the foot of the bed. Opposite the bed, a mid-century reading chair perches beside a metal floor lamp. A low-profile dresser stands against the far wall with a potted fern on top. A round wool rug covers the floor, while two linen pillows rest on the bed and a pair of hardcovers lie open on one nightstand.","eq,1,bed; eq,2,nightstand; eq,1,bench; eq,1,reading_chair; eq,1,floor_lamp; eq,1,dresser; eq,1,fern; eq,1,rug; eq,2,pillow; eq,2,book","eq,1,bed,king_size; eq,1,bed,platform; eq,2,nightstand,maple; eq,1,bench,upholstered; eq,1,reading_chair,mid_century; eq,1,floor_lamp,metal; eq,1,dresser,low_profile; eq,1,fern,potted; eq,1,rug,round; eq,1,rug,wool; eq,2,pillow,linen; eq,2,book,hardcover; eq,2,book,open","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,at_the_foot,0,bed,bench; eq,1,opposite,0,bed,reading_chair; eq,1,beside,0,reading_chair,floor_lamp; eq,2,on,0,bed,pillow; eq,2,on,0,nightstand,book; eq,1,on,0,dresser,fern","eq,1,against,dresser,wall",hard,single_room
372,"A bohemian guest bedroom features a queen-size canopy bed with a single rattan nightstand on one side and a distressed metal nightstand on the other. A single ceramic vase and a magazine lies on the nightstands. At the foot of the bed, a wooden luggage rack holds a folded wool throw. Across the room, a walnut dresser supports a decorative tray. Two scented candles stand in the tray. A patterned rug covers the floor and a fiddle leaf fig rests in a woven basket near the window.","eq,1,bed; eq,2,nightstand; eq,1,vase; eq,1,magazine; eq,1,luggage_rack; eq,1,throw; eq,1,dresser; eq,1,tray; eq,2,candle; eq,1,rug; eq,1,basket; eq,1,fig","eq,1,bed,queen_size; eq,1,bed,canopy; eq,1,nightstand,rattan; eq,1,nightstand,distressed_metal; eq,1,vase,ceramic; eq,1,luggage_rack,wooden; eq,1,throw,wool; eq,1,dresser,walnut; eq,1,tray,decorative; eq,2,candle,scented; eq,1,rug,patterned; eq,1,basket,woven; eq,1,fig,fiddle_leaf; eq,1,throw,folded","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,on,0,nightstand,vase; eq,1,on,0,nightstand,magazine; eq,1,on,0,luggage_rack,throw; eq,1,on,0,dresser,tray; eq,2,inside,0,tray,candle; eq,1,within,0,basket,fig","eq,1,near,basket,window",hard,single_room
373,"A minimalist bedroom showcases a low-profile platform bed paired with a floating nightstand on one side that supports a slim LED lamp. A narrow floor bench stands at the foot of the bed. Along the adjacent wall, a slim vertical bookshelf holds no additional decor. Opposite the bed, a small writing desk accompanies a modern chair. Beneath the desk, two decorative storage boxes sit side by side. A round mirror hangs above the desk, and a geometric runner rug lies across the hardwood floor.","eq,1,bed; eq,1,nightstand; eq,1,lamp; eq,1,bench; eq,1,bookshelf; eq,1,desk; eq,1,chair; eq,2,storage_box; eq,1,mirror; eq,1,rug","eq,1,bed,low_profile; eq,1,bed,platform; eq,1,nightstand,floating; eq,1,lamp,slim; eq,1,lamp,LED; eq,1,bench,narrow; eq,1,bookshelf,slim; eq,1,bookshelf,vertical; eq,1,desk,writing; eq,1,chair,modern; eq,2,storage_box,decorative; eq,1,mirror,round; eq,1,rug,geometric; eq,1,rug,runner","eq,1,on,0,nightstand,lamp; eq,1,at_the_foot,0,bed,bench; eq,1,opposite,0,bed,desk; eq,1,next,0,desk,chair; eq,2,under,0,desk,storage_box; eq,1,above,0,desk,mirror","eq,1,against,bookshelf,wall; eq,1,on,mirror,wall",hard,single_room
374,"A luxury suite bedroom features an upholstered king-size bed with two marble-top nightstands. A velvet armchair sits beside a gold metal side table. A tall mirrored armoire stands near the entrance. Above the bed hangs a crystal chandelier. A faux fur rug lies in front of the bed. On one nightstand, a porcelain vase holds fresh peonies. Two silk pillows rest on the bed and a hardcover book sits atop the side table.","eq,1,bed; eq,2,nightstand; eq,1,armchair; eq,1,side_table; eq,1,armoire; eq,1,chandelier; eq,1,rug; eq,1,vase; ge,2,peony; eq,2,pillow; eq,1,book","eq,1,bed,king_size; eq,1,bed,upholstered; eq,2,nightstand,marble_top; eq,1,armchair,velvet; eq,1,side_table,gold; eq,1,armoire,mirrored; eq,1,chandelier,crystal; eq,1,rug,faux_fur; eq,1,vase,porcelain; ge,2,peony,fresh; eq,2,pillow,silk; eq,1,book,hardcover; eq,1,side_table,metal; eq,1,armoire,tall","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,beside,0,armchair,side_table; eq,1,above,0,bed,chandelier; eq,1,front,0,bed,rug; eq,1,on,0,nightstand,vase; ge,2,inside,0,vase,peony; eq,2,on,0,bed,pillow; eq,1,on,0,side_table,book","eq,1,hang,chandelier,ceiling; eq,1,near,armoire,door",hard,single_room
375,"A Scandinavian loft bedroom boasts a king-size platform bed framed by two white oak nightstands. A slim writing desk faces the bed with a leather swivel chair nearby. Directly opposite, a tall ladder bookshelf holds a potted fiddle leaf fig at the top. A black metal floor lamp stands beside the desk. At the foot of the bed, a tufted wool bench provides seating. A round jute rug lies underfoot. Two linen pillows rest on the bed and a single design magazine lies open on one nightstand.","eq,1,bed; eq,2,nightstand; eq,1,desk; eq,1,chair; eq,1,bookshelf; eq,1,fig; eq,1,floor_lamp; eq,1,bench; eq,1,rug; eq,2,pillow; eq,1,magazine","eq,1,bed,king_size; eq,1,bed,platform; eq,2,nightstand,white; eq,1,desk,slim; eq,1,chair,leather; eq,1,bookshelf,tall; eq,1,bookshelf,ladder; eq,1,fig,potted; eq,1,floor_lamp,black; eq,1,bench,tufted; eq,1,bench,wool; eq,1,rug,round; eq,1,rug,jute; eq,2,pillow,linen; eq,1,magazine,design; eq,1,magazine,open; eq,2,nightstand,oak; eq,1,desk,writing; eq,1,chair,swivel; eq,1,fig,fiddle_leaf; eq,1,floor_lamp,metal","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,facing,0,bed,desk; eq,1,near,0,desk,chair; eq,1,opposite,0,desk,bookshelf; eq,1,on,0,bookshelf,fig; eq,1,beside,0,desk,floor_lamp; eq,1,at_the_foot,0,bed,bench; eq,2,on,0,bed,pillow; eq,1,on,0,nightstand,magazine",,hard,single_room
376,"An industrial loft bedroom presents a reclaimed wood bed with two steel nightstands. A metal bookshelf stands against a wall. A simple writing desk holds two hardcover books and a task chair faces it. A tripod floor lamp illuminates the workspace. Below a raw concrete bench at the foot of the bed lies a geometric rug. One felt cushion sits on the bench, and a vintage radio perches on one nightstand.","eq,1,bed; eq,2,nightstand; eq,1,bookshelf; eq,1,desk; eq,1,chair; eq,2,book; eq,1,floor_lamp; eq,1,bench; eq,1,rug; eq,1,cushion; eq,1,radio","eq,1,bed,reclaimed_wood; eq,2,nightstand,steel; eq,1,bookshelf,metal; eq,1,desk,simple; eq,1,desk,writing; eq,1,chair,task; eq,2,book,hardcover; eq,1,floor_lamp,tripod; eq,1,bench,raw_concrete; eq,1,rug,geometric; eq,1,cushion,felt; eq,1,radio,vintage","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,face,0,desk,chair; eq,1,at_the_foot,0,bed,bench; eq,2,on,0,desk,book; eq,1,on,0,bench,cushion; eq,1,on,0,nightstand,radio","eq,1,against,bookshelf,wall",hard,single_room
377,"A coastal guest bedroom features a whitewashed daybed paired with a driftwood side table. A linen armchair nestles beside a tall chevron dresser. A compact writing desk with a rattan seat sits near the window. On the side table, two seashells and a sea glass vase add nautical charm. A cotton throw drapes over the daybed. A rectangular jute rug covers the floor, and a single linen pillow rests against the backrest.","eq,1,daybed; eq,1,side_table; eq,1,armchair; eq,1,dresser; eq,1,desk; eq,1,chair; eq,2,seashell; eq,1,vase; eq,1,throw; eq,1,rug; eq,1,pillow","eq,1,daybed,whitewashed; eq,1,side_table,driftwood; eq,1,armchair,linen; eq,1,dresser,tall; eq,1,dresser,chevron; eq,1,desk,compact; eq,1,desk,writing; eq,1,chair,rattan; eq,1,vase,sea_glass; eq,1,throw,cotton; eq,1,rug,rectangular; eq,1,rug,jute; eq,1,pillow,linen","eq,1,beside,0,daybed,side_table; eq,1,beside,0,armchair,dresser; eq,1,near,0,desk,chair; eq,2,on,0,side_table,seashell; eq,1,on,0,side_table,vase; eq,1,on,0,daybed,throw; eq,1,on,0,daybed,pillow","eq,1,near,desk,window",hard,single_room
378,"A boho chic canopy bedroom displays a linen canopy bed accompanied by two rattan nightstands. A macrame wall hanging adorns the headboard. A woven wicker bench sits in front of the bed. A round floor pouf lies beside a copper table lamp and a brass floor lamp. Across the room, a distressed wood dresser supports two vinyl albums and a potted snake plant. A faded kilim rug anchors the space.","eq,1,bed; eq,2,nightstand; eq,1,wall_hanging; eq,1,bench; eq,1,floor_pouf; eq,1,table_lamp; eq,1,floor_lamp; eq,1,dresser; eq,2,vinyl_album; eq,1,snake_plant; eq,1,rug","eq,1,bed,linen; eq,2,nightstand,rattan; eq,1,wall_hanging,macrame; eq,1,bench,woven; eq,1,bench,wicker; eq,1,floor_pouf,round; eq,1,table_lamp,copper; eq,1,floor_lamp,brass; eq,1,dresser,distressed_wood; eq,2,vinyl_album,vinyl; eq,1,snake_plant,potted; eq,1,rug,faded; eq,1,rug,kilim; eq,1,bed,canopy","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,next,0,bed,wall_hanging; eq,1,at_the_foot,0,bed,bench; eq,1,beside,0,floor_pouf,table_lamp; eq,1,beside,0,floor_pouf,floor_lamp; eq,2,on,0,dresser,vinyl_album; eq,1,on,0,dresser,snake_plant","eq,1,on,wall_hanging,wall; eq,1,middle,rug,room",hard,single_room
379,"A farmhouse retreat bedroom centers on a cherry sleigh bed flanked by two painted pine nightstands. A reclaimed wood dresser stands opposite a small writing desk with a spindle-back chair. The desk holds a brass table lamp and an open magazine. A woven wicker basket contains a folded wool blanket. A striped cotton rug lies beside the bed, and a single down pillow rests on the mattress. A round wood-framed mirror hangs above the dresser.","eq,1,bed; eq,2,nightstand; eq,1,dresser; eq,1,desk; eq,1,chair; eq,1,table_lamp; eq,1,magazine; eq,1,basket; eq,1,blanket; eq,1,rug; eq,1,pillow; eq,1,mirror","eq,1,bed,cherry; eq,1,bed,sleigh; eq,2,nightstand,painted_pine; eq,1,dresser,reclaimed_wood; eq,1,desk,writing; eq,1,chair,spindle_back; eq,1,table_lamp,brass; eq,1,magazine,open; eq,1,basket,woven; eq,1,basket,wicker; eq,1,blanket,wool; eq,1,blanket,folded; eq,1,rug,striped; eq,1,rug,cotton; eq,1,pillow,down; eq,1,mirror,round; eq,1,mirror,wood_framed; eq,1,desk,small","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,opposite,0,desk,dresser; eq,1,next,0,desk,chair; eq,1,on,0,desk,magazine; eq,1,on,0,desk,table_lamp; eq,1,inside,0,basket,blanket; eq,1,beside,0,bed,rug; eq,1,on,0,bed,pillow; eq,1,above,0,dresser,mirror","eq,1,on,mirror,wall",hard,single_room
